LU_Name,DWR_CAML_Code,CropGroup_LanduseGroup
"Citrus and Subtropical (Clementines, Mandarins, Tangerines, etc.)",300,Subtropical
Grapefruit,301,Subtropical
Lemons,302,Subtropical
Oranges (Navel & Valencia),303,Subtropical
Avocados,305,Subtropical
Olives,306,Olives
Kiwis,308,Subtropical
Deciduous Fruits and Nuts,400,Tree Fruit
Apples,401,Tree Fruit
Cherries,403,Tree Fruit
Peaches and Nectarines,405,Tree Fruit
Pears,406,Tree Fruit
Prunes,408,Tree Fruit
Figs,409,Tree Fruit
Almonds,412,Nuts
Walnuts,413,Nuts
Pistachios,414,Nuts
"Field Crops (includes Flax, Hops, Castor Beans, Miscellaneous Field, and Millet)",600,Field Crops
Cotton,601,Cotton
Safflower,602,Field Crops
Sugar Beets,605,Field Crops
Corn (Field and Sweet),606,"Corn, Sorghum, Sudan"
Beans (dry),610,Field Crops
Sunflowers,612,Field Crops
Grain and Hay (includes miscellaneous),700,Grain and Hay
Barley,701,Grain and Hay
Wheat,702,Grain and Hay
Oats,703,Grain and Hay
Pasture,1600,Pasture
Alfalfa,1601,"Alfalfa, Clover"
Clover,1602,"Alfalfa, Clover"
Mixed pasture,1603,Pasture
Turf farms,1607,Pasture
Rice (includes rice & wild rice subclasses),1800,Rice
"Truck, Nursery, Berry Crops (includes cole mix, mixed, and misc. truck crops)",2000,Vegetables and Berries
Asparagus,2002,Vegetables and Berries
Beans (green),2003,Vegetables and Berries
Carrots,2006,Vegetables and Berries
Celery,2007,Vegetables and Berries
Lettuce,2008,Vegetables and Berries
"Melons, squash, cucumbers",2009,Vegetables and Berries
Onions and garlic,2010,Vegetables and Berries
Peas,2011,Vegetables and Berries
Sweet Potatoes,2013,Vegetables and Berries
Spinach,2014,Vegetables and Berries
Tomatoes (processing),2015,Vegetables and Berries
Bush berries,2019,Vegetables and Berries
Strawberries,2020,Vegetables and Berries
Peppers,2021,Vegetables and Berries
Broccoli,2022,Vegetables and Berries
Cabbage,2023,Vegetables and Berries
Cauliflower,2024,Vegetables and Berries
Brussels Sprouts,2025,Vegetables and Berries
"Vineyards (includes table grapes, wine grapes, and raisins)",2200,Vineyards
